"id","text","author"
"id19925","With the depth of a spirit of amazement and perplexity, I used to look at it from our remote bench in the gallery, since, with solemn and slow steps, it ascended to the pulpit. so clerically flowing, with a wig so minutely powdered, so rigid and so vast, could this be the one who, lately, with a sour face and with skilful skill, administered, splint in hand, the draconian laws of the academy?","EAP"
"id01704","These strange attempts at explanation were followed by others equally bizarre.","EAP"
"id10125","During many prodigies and signs, and everywhere, over the sea and the land, the black wings of the Pestilence extended outward.","EAP"
"id02448","All that can still be said is that &quot;pure gold can be made at will, and very easily from lead in connection with other substances, in kind and in proportions, unknown.&quot; The speculation, of course, is occupied with the immediate and final results of this discovery, a discovery that few thinking people will doubt when referring to a greater interest in the question of gold in general, in the latest developments in California; and this reflection inevitably leads us to another on the inopportune overcoming of Von Kempelen&#39;s analysis.","EAP"
"id23451","It seemed to be on the verge of understanding without being able to understand men, sometimes, I find myself on the verge of memory without power, in the end, remembering.","EAP"
"id27907","Our compasses, depth gauges and other delicate instruments were ruined; so that from now on, our only calculation would be conjecture, based on our clocks, the calendar and our apparent drift as judged by any object that we can spy through the portholes or from the command tower.","HPL"
"id08121","This the young warriors took with them to Sarnath as a symbol of conquest of the ancient gods and beings of Ib, and a sign of leadership in Mnar.","HPL"
"id15222","Meanwhile, the whole Arnheim Paradise bursts over the view.","EAP"
"id00764","I was rich and young, and had a tutor appointed for me; and everything about me would act as if I were one of their great society, while I must keep the secret that I had really been cut off forever.","MWS"
"id00683","We could decipher little in the dim light, but they seemed to contain prophecies, detailed accounts of events, but lately; Names, now well known, but of modern date; and, often, the exclamations of joy or sorrow, of victory or defeat, were traced in its thin and scarce pages.","MWS"
"id11733","Even now they spoke in their graves.","HPL"
"id03205","Sheehan, in particular, answered your questions, but without getting any valuable information about Old Bugs.","HPL"
"id01948","He cried aloud once, and a little later he gave a choked cry that was more terrible than a scream.","HPL"
"id22412","The old roads crossed River Street in degree, and immediately turned into an increasingly rural region with less and less of Innsmouth&#39;s hateful smell.","HPL"
"id05258","His soul was full of ardent affections, and his friendship was of that devout and wonderful nature that the mind of the world teaches us to search only in the imagination.","MWS"
"id00144","After the first beginning, he replaced the fabric that surrounded the portrait, as if to protect it from the sordidness of the place.","HPL"
"id19576","&quot;The peculiar current condition of the cases in the court, and especially of those intrigues in which D is known to be involved, would make the instantaneous availability of the document of its susceptibility to be produced at a given moment an almost equal point. importance with his possession. &quot;","EAP"
"id01577","The growth of Wilbur was really phenomenal, since three months after his birth he had reached a size and muscular power that is not usually found in babies under one year of age.","HPL"
"id01651","Pausing, I managed to lift it with difficulty, after which a black opening was revealed, which exhaled noxious fumes that caused sizzle in my torch, and I revealed in the unstable look the top of a flight of stone stairs.","HPL"
"id27080","Everything was mud and water, and the sky was dark, and the rain was erasing all traces as quickly as possible; but starting in the red mouth, when the trees had moved, there were still some horrible tracks, big as the bars, like the ones I had seen on Monday. &quot;","HPL"
"id20751","Merrival&#39;s visits to Windsor, once frequent, had suddenly ceased.","MWS"
"id21136","However, it should not be assumed that the great Underduk suffered this impertinence on the part of the little man to make it happen with impunity.","EAP"
"id10279","I do not need to tell you how skeptical I have been on the subject of the immortality of the soul.","EAP"
"id12683","I often compared myself to them, and finding that my main superiority consisted of power, I soon became convinced that I was only in power that was inferior to the principal potentates of the earth.","MWS"
"id19180","And the children of the children, and the children of the newcomers, grew up.","HPL"
"id02236","Dr. Johnson, as I saw him, was a full, persecuting, very sick and disheveled-looking man.","HPL"
"id11523","At that moment, the murmur of the water fell softly on my ear and, a few moments later, when I turned on the road more abruptly than before, I realized that a kind of building was at the foot of a gentle slope just in front from my.","EAP"
"id22530","Ellison was notable for the continued profusion of good gifts that he lavished on his fortune.","EAP"
"id22197","I still continued on the plane of the ellipse, but I made little progress towards the east.","EAP"
"id24941","It was useless to provide many things, because we should find abundant supplies in each city.","MWS"
"id15218","They fly fast on the snow in their sleds; the movement is pleasant and, in my opinion, much more pleasant than that of an English coach.","MWS"
"id02164","I pointed to the place where he had disappeared, and we followed the track in boats; The networks were cast, but in vain.","MWS"
"id17654","I have indistinct memories of a great storm some time after arriving at the ship; In any case, I know I heard thunder and other tones that Nature utters only in its wildest state of mind.","HPL"
"id20824","There seemed to be no one in the courtyard below, and he hoped there would be a chance to escape before a general alarm spread.","HPL"
"id21164","Mein Gott, are you taking me for a shicken? &quot;No, oh no,&quot; I replied, very alarmed, &quot;you&#39;re not a chicken, certainly not.&quot;","EAP"
"id08820","Perpetual fear had plagued his complexion, and it had withered the whole person.","MWS"
"id17407","The sunset; the atmosphere darkened and the evening star no longer shone as a companion.","MWS"
"id05166","The rain stopped; the clouds sank behind the horizon; It was already night, and the sun was fast descending the western sky.","MWS"
"id07779","Nothing, however, occurred except some hill noises; and when the day came, many expected that the new horror would have gone as quickly as it had arrived.","HPL"
"id14749","The state rooms were spacious enough, and each had two bunk beds, one on top of the other.","EAP"
"id10634","It was getting dark, and the old roofs and the chimneys outside seemed very strange through the windows.","HPL"
"id03555","They were marched to various parts of the southern counties, were quartered in deserted villages, a part was returned to their own island, while the winter season so far revived our energy, which was defended the country&#39;s passes and any increase in prohibited numbers","MWS"
"id26727","We suffered little cold, and the humidity of the atmosphere was very unpleasant; but the wide space in the car allowed us to lie down, and through layers and some blankets, we did it well enough.","EAP"
"id06312","I dared, I conquered them all, until now I have sold myself to death, with the only condition that you follow me. Fire, and war, and plague, join for your destruction. Oh Raymond, there is no security for you. &quot;With a heavy heart I heard the changes of his delirium, I made him a mantle of layers, his violence diminished and a sticky dew rose on his forehead when the pallor of death happened to the crimson of the fever, I placed it on the layers.","MWS"
"id24464","Again, it seemed to be inside an old house, apparently, but the details and the inhabitants were constantly changing, and he could never be sure of the faces or the furniture, not even of the room, since the doors and Windows seemed in as good a state of flux as the more presumably mobile objects.","HPL"
"id18006","This gentleman was dressed from head to toe in a mantle of velvet of richly embroidered black silk, negligently wrapped around his form in the manner of a Spanish cape.","EAP"
"id04459","The pigeons seemed extremely distressed, and struggled to escape; while the cat meowed mercifully, and, with his tongue hanging from his mouth, he staggered from side to side in the car as if he were under the influence of poison.","EAP"
"id06749","&quot;And the window panels?&quot; &quot;They all left.","HPL"
"id11062","I gasped, gasped for breath. There could be no doubt about the design of my tormentors, oh relentless, more demonic men than I shrunk from the shining metal to the center of the cell.","EAP"
"id01571","With great difficulty, I stood up and, looking around dazedly, was surprised at first by the idea that we were among those who broke up; so terrible, beyond the wildest imagination, was the whirlpool of a mountainous and frothy ocean in which we were involved.","EAP"
"id03152","The next morning, I delivered my cover letters and visited some of the leading professors.","MWS"
"id06412","Raymond also did not finish without drawing in bright and vivid colors, the splendor of a kingdom, in opposition to the commercial spirit of republicanism.","MWS"
"id10155","How this famous magazine can sustain its obviously tremendous expenses is more than we can understand","EAP"
"id24823","&quot;In one or two weeks it had visibly vanished, and in the course of a few months could hardly be discerned with the naked eye&quot;.","HPL"
"id06377","The stranger learned about twenty words in the first lesson; most of them, in fact, were the ones I had understood before, but the others benefited me.","MWS"
"id01222","Each people considered the coming struggle as something that would be decisive to a large extent; as, in case of victory, the next step would be the siege of Constantinople by the Greeks.","MWS"
"id10142","&quot;But could not the cavity be detected when it rang?&quot;","EAP"
"id08521","My lieutenant, for example, is a man of great courage and initiative; he is madly desirous of glory, or rather, of writing my phrase in a more characteristic way, of progress in his profession.","MWS"
"id13267","Within twenty-four hours, that machine near the table will generate waves that act on unrecognized sensory organs that exist in us as atrophied or rudimentary vestiges.","HPL"
"id06001","&quot;Everyone learned about the&quot; idea &quot;of&quot; canoe wars &quot;with the other islanders, or as a sacrifice to the sea gods below, or snake bites or plagues or acute galloping affections or something like that before they were taken to the water, but simply looked for a kind of change that was not a little horrible.","HPL"
"id22877","The lips were of the usual marble pallor.","EAP"
"id02647","&quot;That is absolutely unnecessary,&quot; replied G.","EAP"
"id10154","In front lie the few herbs and bushes of blueberry bushes, and beyond them, the naked rock of the boulder and the thin peak of the dreaded gray hut.","HPL"
"id22605","To be close to him, to be loved by him, to feel him again, was the limit of his desires.","MWS"
"id18034","The sky was serene; and, since I could not rest, I resolved to visit the place where my poor William had been murdered.","MWS"
"id27266","I say &quot;thing&quot; whether it is observed because they say Latin because it is rem.","EAP"
"id10676","Everything he said threw Cornelius Agrippa, Albertus Magnus, and Paracelsus, the lords of my imagination, to a great extent; but, by some fatality, the overthrow of these men discouraged me to continue my accustomed studies.","MWS"
"id03833","The former queen gives me idris; Adrian is totally unable to succeed in the realm of the ear, and that ear in my hands becomes a kingdom.","MWS"
"id16135","The students, also, in any access or decrease in light, suffered contraction or dilation, as observed in the feline tribe.","EAP"
"id19878","&quot;Keep the biggest branch, the one on this side,&quot; said Legrand.","EAP"
"id25019","And trembling for a while between the curtains of the room, at last he rested in full view on the surface of the brass door.","EAP"
"id18067","Maternal affection had not made Idris selfish; At the beginning of our calamity, she, with an unreflecting enthusiasm, dedicated herself to the care of the sick and helpless.","MWS"
"id23088","He came as a protective spirit to the poor girl, who committed herself to his care; and after the burial of his friend, he drove her to Geneva and placed her under the protection of a relationship.","MWS"
"id06172","I was expecting some extravagant proposal, and I remained silent for a while, picking up my thoughts in order to better combat their fanciful plan.","MWS"
"id08466","The issues had now taken on a very serious aspect, and I resolved to call immediately my particular friend, Mr. Theodore Sinivate; because I knew that here at least I should get something as definitive information.","EAP"
"id02547","The system had its disadvantages, and even its dangers.","EAP"
"id04451","Everyone seemed inclined to be silent now, as if they had a secret fear.","HPL"
"id04853","They still appeared in public together, and lived under the same roof.","MWS"
"id21482","&quot;But, my dear friend, then you are joking,&quot; I said, &quot;this is a very passable skull, I can say that it is a very excellent skull, according to the vulgar notions about such specimens of physiology and your beetle must be the beetle weirdest in the world if you like it.","EAP"
"id03072","I&#39;ve been angry, Gawd, I do not know what he wants or what he&#39;s trying to spray. &quot;","HPL"
"id08617","He began to respond with violence: &quot;Yes, yes, I hate you, you are my destruction, my poison, my displeasure, Oh, no.&quot; And then he changed his attitude, and fixed his eyes on me with an expression that convulsed all the nerves and members of my frame &quot;you are none of these, you are my light, my only, my life.","MWS"
"id04159","I shuddered to wonder why I had not reached the light, and I would have looked down if I had dared.","HPL"
"id18740","The slow ravages of the disease are not pleasant to observe, but in my case there was something more subtle and more disconcerting in the background.","HPL"
"id11321","When Comte and his associates departed from the humble abode of the alchemists, the form of Charles Le Sorcier appeared through the trees.","HPL"
"id06564","As I said, it happened when we were in medical school, where West had already become famous through his wild theories about the nature of death and the possibility of artificially overcoming it.","HPL"
"id01004","In addition, Perdita was with him in his retirement; she saw the bad mood that succeeded with this forced hilarity; she marked her disturbed dream, her painful irritation once she had seen her tears, her own had just stopped flowing, as she had seen the great drops that the disappointed pride had provoked in her eyes, but which pride was unable to dissipate. .","MWS"
"id09114","I packaged my chemical instruments and the materials I had collected, resolving to finish my work in a dark corner in the highlands of northern Scotland.","MWS"
"id27670","My friend&#39;s ideas can be summarized in a few words.","EAP"
"id15648","A definite point between the stars demanded it and called it.","HPL"
"id27679","I think I&#39;ll be forced to call them both.","EAP"
"id14878","God knows what that world may have been, or where he once glimpsed the blasphemous forms that slid, trotted and crawled through him; but whatever the puzzling source of his images, one thing was clear.","HPL"
"id15083","However, all these appearances have been given, I ask that the wise men of future ages, indicate them, to the Ashimah of the Syrians.","EAP"
"id24979","My skin was embraced by the sun; My step was firm with conscious power.","MWS"
"id20087","It was in these slums along the main street where you would find the old Georgian churches, but they were all abandoned for a long time.","HPL"
"id06500","&quot;I think, sir, that you forgot to pay for your brandy and water.&quot;","EAP"
"id21174","I started and exclaimed: &quot;Villain Before I sign my death sentence, make sure you are safe.&quot;","MWS"
"id23958","Only their eyes remained whole, and they watched with a propelling and dilated incandescence that grew as the face around them singed and diminished.","HPL"
"id13881","He decided to extract and condense all the glory, power and achievements, which could have resulted from a long reign, in the three years of his Protectorate.","MWS"
"id01306","There was no advertising of the collection of this ship.","EAP"
"id15580","Bewildered, the diggers sought a conference with the Superintendent, who ordered large stretches of rope to be carried to the well, and spliced and lowered them incessantly until a bottom was discovered.","HPL"
"id07787","They had received orders that if they took me again, they would take me to the count; and their indifference made them wait for a conclusion they considered wrong for my crime.","MWS"
"id13315","Then the slender Nith observed that no one had seen the old man or his wife since the night the cats were away.","HPL"
"id02772","Six years had passed, spent in a dream, but by an indelible mark, and I was in the same place where I had embraced my father for the last time before my departure to Ingolstadt.","MWS"
"id19806","&quot;But that Kidd&#39;s accumulations were immense, it is well known.","EAP"
"id05293","And as I watched, I saw that the head was raised, the black, liquid and deep eyes opened in terror, and the thin and gloomy lips parted as if it were a scream too awful to pronounce.","HPL"
"id17840","And from its high peaks, one by one, eternal sprinkles fall.","EAP"
"id10113","Now he had spent many hours crying and meditating sadly; It was after twelve in the morning; everything was peaceful in the house, and the soft air that came in through my window did not rustle the leaves of the curled plants that shadowed it.","MWS"
"id17270","With the traditionally receptive ears of the little boy, I learned a lot; although a usual secret did not tell anyone my information or my resolution.","HPL"
"id24267","He himself did not understand these words, nor did he know why certain things made him feel certain emotions; but he believed that some unremembered dream must be responsible.","HPL"
"id21317","Look, I cry: for more than two years I have never enjoyed a moment of freedom from anguish.","MWS"
"id24125","In fact, it is demonstrable that every impulse given to air must, in the end, impress every individual thing that exists within the universe; and the being of infinite comprehension the being that we have imagined could trace the remote undulations of the impulse tracing them up and forward in their influences on all the particles of a matter upwards and forwards forever in their modifications of ancient forms or, in other words, in his creation again until he found them reflected unimpressive at the end of returning from the throne of the Deity.","EAP"
"id02655","Justine was called for his defense.","MWS"
"id18911","With his broken commitment, Galpin moved east to begin a new life; but in a short time, the Appletonians learned of his dismissal in disgrace from the University of New York, where he had obtained an instruction in English.","HPL"
"id26487","He had a narrow head, bulging eyes, watery blues that seemed never to blink, a flat nose, a receding forehead and chin, and singularly undeveloped ears.","HPL"
"id05457","It will be recalled that, at the earliest stage of my speculations about the possibility of a passage to the moon, the existence, in its vicinity, of an atmosphere, dense in proportion to the thickness of the planet, had largely entered into my calculations; this also in spite of many theories against, and, it may be added, in spite of a general disbelief in the existence of any lunar atmosphere.","EAP"
"id07762","My words flowed spontaneously, my expression was firm and quick.","MWS"
"id22890","Of course, only a very rare affliction could cause such vast and radical anatomical changes in a single individual after the changes of maturity involving bone factors as basic as the shape of the skull, but even this aspect was no more disconcerting and unheard of visible characteristics of the disease as a whole.","HPL"
"id12353","As I fled from that damn castle along the edge of the swamp, I heard a new sound; common, but unlike any I had heard before in Kilderry.","HPL"
"id05582","He did not attempt to sail after the first daring flight, since the reaction had taken something away from the soul.","HPL"
"id21404","Once, a bear, who was trying to swim from Lofoden to Moskoe, was caught by the brook and lowered while he roared terribly, so they would hear him on the shore.","EAP"
"id14312","He obeyed his commands and spent a year in exile in Cumberland.","MWS"
"id18834","He returned to his past life, to his successes in Greece, to his favor at home.","MWS"
"id06817","The murderers, throwing him inside, would not have failed to place a weight.","EAP"
"id23484","After every brief and inevitable dream, he seemed older, while my friend aged with an almost shocking speed.","HPL"
"id05876","I look at the hands that executed the fact; I think of the heart in which his imagination was conceived and he longs for the moment when these hands meet my eyes, when that imagination no longer pursues my thoughts.","MWS"
"id22987","In the cloudy cloud that floated over the city, horrible views were formed; and my only relief was derived from the struggles I made to approach the door.","MWS"
"id05449","To reach it, he said, it would rise through voids of emptiness, burning all the obstacles that stood in its way.","HPL"
"id24399","&quot;Pierre Moreau, a retailer, states that he has been in the habit of selling small quantities of tobacco and tobacco to Madame L&#39;Espanaye for almost four years.","EAP"
"id11413","I still accelerated my pace.","EAP"
"id03950","I resolved to fly away from the scene of my misfortunes; But for me, hated and despised, every country must be equally horrible.","MWS"
"id08447","It was in the spirit of this wisdom that, among the ancient Hebrews, it was believed that the doors of Heaven would inevitably open up to that sinner, or saint, who, with good lungs and implicit confidence, should shout the word &quot;Amen.&quot; It was in the spirit of this wisdom that, when a great plague was unleashed in Athens, and all means had been tried in vain for its elimination, Epimenides, as Laercio relates, in his second book, of that philosopher, advised the erection of a sanctuary and the temple &quot;to the proper God&quot;. LYTTLETON BARRY.","EAP"
"id21568","I hope you never dreamed of having your residence in Alexander the Great or Nopolis if you had been aware that, in Alexander the Great or in Nópolis, there lived a gentleman named John Smith, if I remember correctly, who was there for many years. In silence, he gained weight in the edition and publication of the &quot;Gazette of Alexander the Great or Nopolis.&quot;","EAP"
"id25461","I will protect the first, the latter will commit to their position.","MWS"
"id01207","Wretched, so that I can not do another wretch, I should die.","MWS"
"id08041","The police heard a shot in the old Tillinghast house and found us there, Tillinghast dead and I unconscious.","HPL"
"id03570","It is even possible that the train of my ideas had never received the fatal impulse that led to my ruin.","MWS"
"id09713","I had not entered the army on my own initiative, but as a natural result of the recruitment of the man whose indispensable assistant was the famous Boston surgery specialist, Dr. Herbert West.","HPL"
"id12320","It was my last link to a chapter of life closed forever, and I valued it highly.","HPL"
"id18040","The more I meditated on them, the more intense the interest that had awakened within me.","EAP"
"id27756","She often repeated; but his confidence in the uniqueness of his affection was not disturbed; and, when they were together, without being controlled by fear, she opened her heart to the fullest.","MWS"
"id15641","For me there was nothing grotesque in the bones and skeletons that threw some of the stone crypts deep into the foundations.","HPL"
"id11826","He was full of thoughts and remained silent for a considerable part of our trip; Finally, he said: &quot;I must apologize to you for my abstraction, the truth is that Ryland&#39;s motion arrives at night and I am considering my response.&quot;","MWS"
"id06472","The Thing can not be described, there is no language for such abysses of immemorial shrieks and follies, such contradictions of all kinds of matter, force and cosmic order.","HPL"
"id04172","To add to our dilemma, we find the pumps drowned and almost useless.","EAP"
"id23387","By these means, since they were ignorant men, I found little difficulty in achieving them for my purpose.","EAP"
"id16818","It was strange, strangely weird, and my uncle spoke almost timidly, as if he almost did not believe it, when he declared that many of the strange faces had the characteristics of the Harris family.","HPL"
"id09068","For three months there has not been a night, for most of which I have not been personally involved in looting the D Hotel.","EAP"
"id15774","Raymond was not surprised, since, therefore, the artist had shrugged, but it did not alter his resolution.","MWS"
"id17128","He no longer craves the magic of more distant hills, nor sighs for secrets that resemble the green reefs of a bottomless sea.","HPL"
"id08079","But while I endured the punishment and pain in his defense with the spirit of a hero, I claimed as a reward his praise and obedience.","MWS"
"id10542","I must collect my thoughts.","MWS"
"id21056","Never imposing myself on anyone, I did not let anyone play the opossum with me.","EAP"
"id12080","&quot;It&#39;s not like that,&quot; I said, &quot;although I confess that my thoughts are not as pleasantly busy as yours.","MWS"
"id10888","Then, while I remained, paralyzed by fear, he found his voice and on his last breath he cried out those words that have haunted my days and my nights.","HPL"
"id23731","&quot;Surely it is not the custom of the English to receive such inhospitable people.&quot;","MWS"
"id23209","They remained confined for five months before the trial, the result of which deprived them of their fortune and condemned them to a perpetual exile from their native country.","MWS"
"id25905","They never stopped swimming in a river near that cursed Satan&#39;s reef and more and more attics windings were blocked, and more noises and noises were heard in guest houses like they did not. It&#39;s against anyone in them. . . .","HPL"
"id05110","In Lawrence he had been prominent in the simulated fraternity of &quot;Tappa Tappa Keg,&quot; where he was the most savage and cheerful of the young and savage roysterers; but this immature and collegiate frivolity did not satisfy him.","HPL"
"id12871","The extremities, except for their black fur, resembled more or less the hind legs of the giant saurians of the prehistoric Earth; and ended up in nervous pads that were neither hooves nor claws.","HPL"
"id04666","These are my attractions, and they are enough to overcome all the fear of danger or death and induce me to begin this laborious journey with the joy that a child feels when he embarks on a small boat, with his holiday companions, on an expedition of discovery. until his native river.","MWS"
"id27629","There were two suitable bolts on the two side doors of the connected rooms, and they proceeded to close.","HPL"
"id05317","His assumption was that &quot;a well-educated child, very thin and tall enough to be able to hide it in a drawer almost immediately under the chessboard&quot;, played the game of chess and made all the evolutions of the Automaton.","EAP"
"id20597","Interspersed and crisscrossed in an endless irregularity, there were innumerable benches and desks, black, old and worn, desperately stacked with books of much enunciation, as well as with initial letters, complete names, grotesque figures and others multiplied the efforts of the knife, since he had completely lost what little of the original form his part might have been in distant days.","EAP"
"id09853","If the courage and the resistance of man can save us, we will be saved.","MWS"
"id09334","The silver hair and the benevolent countenance of the old cook won my reverence, while the girl&#39;s kind manners seduced my love.","MWS"
"id19728","I started by incurring my body to difficulties.","MWS"
"id25281","But these absurdities I must not stop to the details.","EAP"
"id03036","I traveled alone at night, afraid to meet the face of a human being.","MWS"
"id12020","We had barely regained our senses, before the sail collapsed, when we got up for a storm, we continued sailing and with this we went quite well for a few hours, the ship went to the sea in a much more constant than before.","EAP"
"id04949","The bottom of the other is hidden from view by the head of the unmanageable bed that is pushed against it.","EAP"
"id09194","Adrian had introduced systematic ways of proceeding in the metropolis, which, while they could not stop the progress of death, prevented other evils, vices, and follies from making the terrible fate of the hour even more terrible.","MWS"
"id01172","&quot;At a quarter past eight, unable to breathe without the most intolerable pain, I proceeded to adjust around the car the device that belonged to the condenser.","EAP"
"id21956","The professor had been beaten while returning from Newport&#39;s ship; Suddenly falling, as the witnesses said, after being pushed by a nautical-looking black man who came from one of the curious and dark courts on the steep slope that formed a shortcut from the coast to the house of the deceased on Williams Street.","HPL"
"id01830","Suddenly, the wretch, encouraged by his last outburst of strength, lifted his horrible head from the wet and sunken pavement.","HPL"
"id25698","&quot;Ha, ha, ha,&quot; said the knight, &quot;he, he, hello, hello, hello, hello, eh, eh, eh, eh, eh, eh, fine, you should not be surprised, mon ami, our friend here it is an ingenuity that you should not understand with the letter. &quot;","EAP"
"id22366","It is true that you may not find the opportunity to transmit it to the world, but I will not dare to make the effort.","EAP"
"id17453","I repeat that in landscape arrangements, or just placements, the physical nature is susceptible to &quot;exaltation&quot; and that, therefore, its susceptibility to improvement at this point, was a mystery that, until now, had not been able to resolve.","EAP"
"id15797","He also cut wood and began to repair the unused parts of his house, a spacious roof-covered roof, whose back part was completely buried in the rocky slope, and whose three rooms on the ground floor less destroyed had always been enough for him And your daughter.","HPL"
"id14132","Meanwhile, it was crazy to cry, or think.","EAP"
"id22533","The extreme darkness of the stage, whose only light came from the fire under the cauldron, joined a kind of mist that floated around her, and the supernatural forms of the witches were dark and somber.","MWS"
"id25269","Sheehan&#39;s is Chicago&#39;s recognized center for liquor and narcotics trafficking, and as such has a certain dignity that extends even to the neglected aggregates of the place; but until recently there was someone who was outside the limits of that dignity that shared the misery and filth, but not the importance, of Sheehan.","HPL"
"id06356","Perhaps the gradation of his copy did not make it so easily discernible; or, more possibly, I owed my security to the master air of the copyist, who, disdaining the letter, who in a painting is all that the obtuse can see, gave all the spirit of his original for my individual contemplation and disgust.","EAP"
"id27761","Maybe it was an effect of such an environment that my mind soon acquired a melancholy tone.","HPL"
"id04015","&quot;You should hear, however, what some of the veterans say about the black reef off the coast of the Devil Reef, they call it.","HPL"
"id08936","The Prince had provided all the pleasure appliances.","EAP"
"id02672","During a week I tried to the maximum the joys of that coexistence that I do not have to describe, when it happened, and I was taken to this damn abode of sadness and monotony.","HPL"
"id01301","He sees enough, I tell you, Mis&#39; Corey. This does not mean anything good, and I think that like all men should go to a party and &#39;do something&#39;.","HPL"
"id11714","No school of recognized sculpture had animated this terrible object, however, centuries and even thousands of years seemed engraved on its faint, greenish surface of unplayable stone.","HPL"
"id22514","For a long time I did not dare to wait; but when her unobstructed breathing and the moisture that covered her forehead were signs that could no longer be confused with the disappearance of the deadly disease, I ventured to whisper the news of the change to Idris, and finally managed to convince her that I said the truth.","MWS"
"id25671","He understood, in addition, the true character, the august ends, the supreme majesty and the dignity of the poetic feeling.","EAP"
"id27169","Otherwise there is no immortality for man.","EAP"
"id07849","I put the second level, and the third, and the fourth; And then I heard the furious vibrations of the chain.","EAP"
"id03066","In general, he became a disconcerting and even frightening fellow; however, in my gratitude for his healing, I could not leave him with the strangers around him, and I took care to dust off his room and attend to his needs every day, muffled in a heavy wick that I bought especially for this purpose.","HPL"
"id19449","He longed for the love that had previously filled him to overflowing.","EAP"
"id15830","It was a lambent glow of this kind that always played with the old woman and the little hairy thing in those lighter and sharper dreams that preceded her sinking into unknown chasms, and the thought of a second person waking up could see the luminance of the dream was completely beyond healthy harbor.","HPL"
"id26636","My first thought was Perdita; I must return to her; I must support her, extracting so much food from the despair that can best sustain her wounded heart; reminding her of the wild excesses of grief, by the austere laws of duty and the gentle tenderness of repentance.","MWS"
"id00037","He had affinity not only with humanity, but all nature was similar to him; the mountains and the sky were his friends; the winds of heaven and the offspring of the earth, their playmates; While he focused only on this powerful mirror, he felt that his life was mixed with the universe of existence.","MWS"
"id25376","The undemanding souls let this occurrence as one of the main clashes in a spasmodic war against liquor.","HPL"
